batch,code,visual_status,reason,current_location
13-final,P5-F19,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F19.png
13-final,P5-F20,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F20.png
13-final,P5-F24,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F24.png
13-final,P5-F25,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F25.png
13-final,P5-F27,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F27.png
13-final,P5-F32,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F32.png
13-final,P5-F36,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F36.png
13-final,P5-F38,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F38.png
13-final,P5-F45,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F45.png
13-final,P5-F48,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F48.png
