"batch","code","title","action","model","expected_width","expected_height","actual_width","actual_height","dimension_ok","output_abs","response_json","status","note"
"03","P3-F25","서버 인증서 검증과 신뢰사슬","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F25.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F25.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F33","Broken Access Control과 IDOR","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F33.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F33.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F47","DNS 레코드 유형","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F47.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F47.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F49","DNS 공격과 대응 지도","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F49.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F49.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F50","DNSSEC 신뢰사슬","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F50.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F50.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F54","DB 암호화와 키 관리","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F54.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F54.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F56","전자상거래 신뢰모델과 보안요소","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F56.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F56.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F57","전자지불 수단과 보안요소","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F57.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F57.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F58","SET 참여자와 거래 흐름","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F58.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F58.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
"03","P3-F59","SET 이중서명","전면 재생성","gemini-3.1-flash-image","1800","1004","1800","1004","True","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F59.png","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\00_가이드\nano_banana_responses\batch03_P3-F59.json","크기검증 통과","Nano Banana API 결과를 원본 비율 유지 방식으로 최종 캔버스에 맞춤"
