batch,code,visual_status,reason,current_location
12-final,P4-F44,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F44.png
12-final,P4-F47,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F47.png
12-final,P4-F52,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F52.png
12-final,P5-F03,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F03.png
12-final,P5-F07,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F07.png
12-final,P5-F08,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F08.png
12-final,P5-F09,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F09.png
12-final,P5-F12,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F12.png
12-final,P5-F13,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F13.png
12-final,P5-F17,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F17.png
