batch,code,visual_status,reason,current_location
09-final,P3-F03,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F03.png
09-final,P3-F17,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F17.png
09-final,P3-F21,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F21.png
09-final,P3-F26,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F26.png
09-final,P3-F32,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F32.png
09-final,P3-F34,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F34.png
09-final,P3-F37,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F37.png
09-final,P3-F39,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F39.png
09-final,P3-F45,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F45.png
09-final,P3-F46,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F46.png
