batch,code,expected_width,expected_height,actual_width,actual_height,dimension_ok,visual_status,final_source,current_location
13-final,P5-F19,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F19.png
13-final,P5-F20,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F20.png
13-final,P5-F24,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F24.png
13-final,P5-F25,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F25.png
13-final,P5-F27,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F27.png
13-final,P5-F32,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F32.png
13-final,P5-F36,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F36.png
13-final,P5-F38,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F38.png
13-final,P5-F45,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F45.png
13-final,P5-F48,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F48.png
