"batch","code","visual_status","reason","current_location"
"03","P3-F25","통과","서버 Leaf 인증서, 신뢰사슬 구성, 클라이언트 검증 체크리스트가 기능 패널로 분리됨. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F25.png"
"03","P3-F33","재작업","상단 전체 제목이 크게 남아 있고 공격자 표시가 User A로 반복되어 의미 혼동 가능.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F33.png"
"03","P3-F47","통과","DNS 레코드 유형 표가 명확하고 핵심 반환값이 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F47.png"
"03","P3-F49","통과","DNS 공격 유형과 대응책이 지도형 흐름으로 구성됨. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F49.png"
"03","P3-F50","재작업","좌상단 DNSSEC 전체 제목과 하단 시험 강조점 문장 노출. Part3 제목 정책 위반.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F50.png"
"03","P3-F54","재작업","DB 암호화 구조는 좋지만 중앙 상단에 깨진 한글 오탈자(매리잉 사용)가 보임.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F54.png"
"03","P3-F56","통과","전자상거래 주문·지급·승인 정산 흐름과 인증서 신뢰모델이 분리되어 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F56.png"
"03","P3-F57","재작업","하단에 Hegs-like speability, Treail 등 깨진 영문과 한글 오탈자가 보임.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F57.png"
"03","P3-F58","재작업","SET 참여자 흐름 중 PI 처리 박스에 깨진 한글이 보임.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F58.png"
"03","P3-F59","재작업","결제 게이트웨이 표기에 Paymeway 오타가 있고 이중서명 수식 설명의 정확성 재검수 필요.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F59.png"
