batch,code,expected_width,expected_height,actual_width,actual_height,dimension_ok,visual_status,final_source,current_location
14-final,P5-F52,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F52.png
14-final,P5-F59,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F59.png
14-final,P5-F61,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F61.png
14-final,P5-F62,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F62.png
14-final,P5-F67,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F67.png
14-final,P5-F69,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F69.png
14-final,P5-F70,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F70.png
14-final,P5-F75,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F75.png
14-final,P5-F78,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F78.png
14-final,P5-F81,1600,893,1600,893,True,통과,nano_banana,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F81.png
