batch,code,visual_status,reason,current_location
10-final,P3-F48,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F48.png
10-final,P3-F65,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F65.png
10-final,P3-F69,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F69.png
10-final,P3-F70,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F70.png
10-final,P3-F71,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F71.png
10-final,P4-F01,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F01.png
10-final,P4-F03,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F03.png
10-final,P4-F05,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F05.png
10-final,P4-F06,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F06.png
10-final,P4-F10,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F10.png
