"batch","code","visual_status","reason","current_location"
"03-final","P3-F25","통과","서버 Leaf 인증서, 신뢰사슬 구성, 클라이언트 검증 체크리스트가 기능 패널로 분리됨. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F25.png"
"03-final","P3-F33","통과","정상 접근 흐름과 IDOR 공격 차단 흐름이 기능 섹션으로 분리됨. User A/User B 구분 양호.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F33.png"
"03-final","P3-F47","통과","DNS 레코드 유형 표가 명확하고 핵심 반환값이 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F47.png"
"03-final","P3-F49","통과","DNS 공격 유형과 대응책이 지도형 흐름으로 구성됨. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F49.png"
"03-final","P3-F50","통과","Root/TLD/Child 신뢰사슬과 Resolver 검증 성공·실패 흐름이 명확함. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F50.png"
"03-final","P3-F54","통과","전송 TLS, 애플리케이션 계층 암호화, TDE, 열/필드 암호화, 권한 분리, KMS/HSM 패널 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F54.png"
"03-final","P3-F56","통과","전자상거래 주문·지급·승인 정산 흐름과 인증서 신뢰모델이 분리되어 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F56.png"
"03-final","P3-F57","통과","전자지불 수단별 위험/보호/거래추적·프라이버시 비교가 명확하고 깨진 영문 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F57.png"
"03-final","P3-F58","통과","SET 참여자와 OI/PI 처리, 승인/정산 흐름이 명확하고 깨진 한글 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F58.png"
"03-final","P3-F59","통과","SET 이중서명 수식과 고객·상점·Payment Gateway 검증 흐름 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F59.png"
