batch,code,visual_status,reason,current_location
08-final,P2-F64,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F64.png
08-final,P3-F28,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F28.png
08-final,P3-F55,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F55.png
08-final,P3-F68,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F68.png
08-final,P4-F75,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F75.png
08-final,P5-F40,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part5\P5-F40.png
08-final,P1-F42,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part1\P1-F42.png
08-final,P2-F05,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F05.png
08-final,P3-F01,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F01.png
08-final,P3-F02,통과,Contact sheet quick check completed; no blank image or severe layout failure observed.,C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F02.png
