code,title,caption,purpose,model,source_path,output_path,response_json,expected_width,expected_height,actual_width,actual_height,dimension_ok,status,note
P2-F11,SDN 제어 평면과 데이터 평면,[P2-F11] SDN 제어 평면과 데이터 평면,목적: SDN에서 중앙 제어 평면과 스위치의 데이터 평면을 분리하는 개념을 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F11.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F11.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F12,IPv4 헤더 구조,[P2-F12] IPv4 헤더 구조,목적: IPv4 헤더의 핵심 필드와 라우팅·단편화·상위 프로토콜 역할을 연결한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F12.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F12.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F12.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F13,MTU와 IPv4 단편화·재조립,[P2-F13] MTU와 IPv4 단편화·재조립,목적: MTU보다 큰 IPv4 데이터그램이 단편화되고 목적지에서 재조립되는 과정을 이해시킨다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F13.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F13.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F13.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F15,공인·사설·정적·동적 주소 비교,[P2-F15] 공인·사설·정적·동적 주소 비교,목적: IP 주소의 범주를 공인/사설과 정적/동적이라는 서로 다른 축으로 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F15.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F15.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F15.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F16,NAT와 PAT 동작,[P2-F16] NAT와 PAT 동작,목적: 사설 주소를 공인 주소로 변환하는 Static NAT·Dynamic NAT·PAT의 차이와 상태표를 보여준다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F16.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F16.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F16.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F17,IPv6 주소와 기본 헤더,[P2-F17] IPv6 주소와 기본 헤더,"목적: IPv6의 128비트 주소 표기, 주소 유형, 단순화된 기본 헤더를 한 장에 정리한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F17.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F17.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F17.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F19,ARP와 RARP 동작,[P2-F19] ARP와 RARP 동작,목적: 같은 네트워크에서 IPv4 주소를 MAC 주소로 해석하는 ARP와 역사적 RARP를 구분한다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F19.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F19.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F19.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F22,TCP 3-way Handshake와 4-way 종료,[P2-F22] TCP 3-way Handshake와 4-way 종료,"목적: TCP 연결 설정과 종료에서 SYN·ACK·FIN, 시퀀스·확인 번호의 변화를 이해시킨다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F22.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F22.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F22.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F23,TCP 헤더·플래그·흐름제어,[P2-F23] TCP 헤더·플래그·흐름제어,"목적: TCP 헤더의 핵심 필드와 플래그, 슬라이딩 윈도우·재전송을 연결한다.",gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F23.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F23.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F23.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
P2-F24,TCP와 UDP 비교,[P2-F24] TCP와 UDP 비교,목적: 연결성·신뢰성·헤더·용도 차이를 비교하고 프로토콜 선택 기준을 이해시킨다.,gemini-3.1-flash-image,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_extracted_sources\P2-F24.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part2\P2-F24.png,C:\Users\javam\OneDrive\Documents\Generate Image\generate_image_with_nanobanana\나노바나나_전체_수정대상_작업팩_v2\00_가이드\part2_docx_style_regeneration_responses\P2-F24.json,1600,850,1600,850,True,OK,Regenerated from Part2 DOCX SVG-style source.
