"batch","code","visual_status","reason","current_location"
"04-final","P3-F60","통과","전자화폐 은닉서명, 은닉 해제, 은행 공개키 검증, 이중지불 확인 흐름 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F60.png"
"04-final","P3-F61","통과","전자서명 검증, 인증서 경로·폐기 검증, TSA 시점확인 패널 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F61.png"
"04-final","P3-F66","통과","Secure SDLC 단계와 Shift Left/Right 보안 활동이 명확함. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F66.png"
"04-final","P3-F13","통과","SPF 발신 도메인 DNS TXT 조회, 수신 서버 비교, 판정 결과 흐름이 명확함. 제목·시험 강조 박스 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F13.png"
"04-final","P3-F24","통과","TLS 1.3 Client/Server 메시지 순서가 명확하고 시험 요점 박스가 제거됨.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F24.png"
"04-final","P3-F31","통과","CSRF 공격 흐름과 방어 수단이 명확하고 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F31.png"
"04-final","P3-F42","통과","Origin 구성 비교와 CORS Preflight 시퀀스가 명확하고 시험/금지 안내 박스가 제거됨.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F42.png"
"04-final","P4-F11","통과","FAR 감소, FRR 증가, EER 교차점 관계가 정확한 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F11.png"
"04-final","P4-F13","통과","Prover/Verifier 흐름과 완전성·건전성·영지식성 조건이 분리되어 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F13.png"
"04-final","P4-F24","통과","Clark-Wilson UDI/CDI/TP/IVP, 직무분리, 감사 흐름 보정본 통과.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F24.png"
