"batch","code","visual_status","reason","current_location"
"04","P3-F60","재작업","상단 전체 제목이 크게 남아 있고 은닉서명 단계 텍스트가 과밀함.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F60.png"
"04","P3-F61","재작업","[전자서명 및 공개키 검증] 전체 제목이 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F61.png"
"04","P3-F66","통과","Secure SDLC 단계와 Shift Left/Right 보안 활동이 명확함. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F66.png"
"04","P3-F13","재작업","상단 SPF 검증 흐름 전체 제목과 하단 시험 강조점 안내 문구가 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F13.png"
"04","P3-F24","재작업","시험 핵심 요점 박스가 남아 있고 안내성 문장 노출이 큼.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F24.png"
"04","P3-F31","통과","CSRF 공격 흐름과 방어 수단이 명확하고 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part3\P3-F31.png"
"04","P3-F42","재작업","상단 Origin 전체 제목과 시험 강조점/금지 주의사항 안내 문구가 남아 있음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part3\P3-F42.png"
"04","P4-F11","재작업","FAR·FRR 곡선 라벨 오류: 낮아지는 곡선이 FRR로 잘못 표기됨.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F11.png"
"04","P4-F13","통과","Prover/Verifier 흐름과 완전성·건전성·영지식성 조건이 분리되어 읽힘. 전체 제목·코드 없음.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\03_수정완료\Part4\P4-F13.png"
"04","P4-F24","재작업","전체 제목과 Integrity Mod 오타, 상단 설명 오탈자가 크게 보임.","C:\Users\javam\OneDrive\Documents\그림만들기\나노바나나_전체_수정대상_작업팩_v2\04_재작업\Part4\P4-F24.png"
